node,degree,indegree,outdegree,betweenness,closeness
thexoxoday,80,74,6,0.06001021450459653,0.8348047084002139
820926068391550977,2,2,0,0.0,0.02247191011235955
825965098728620032,2,2,0,0.0,0.02247191011235955
epicangel40,2,1,1,0.0008937691521961185,0.011235955056179775
mehandisuresh,2,1,1,0.0,0.011235955056179775
824298039967825920,1,1,0,0.0,0.011235955056179775
rehanak55,2,1,1,0.0008937691521961185,0.011235955056179775
nehayagnik,3,1,2,0.0008937691521961185,0.011235955056179775
kajol_saxena,2,1,1,0.0,0.011235955056179775
shwtz7,2,1,1,0.0008937691521961185,0.011235955056179775
deepakberiwala,2,1,1,0.0,0.4328617006519628
mgossipqueen,2,1,1,0.0008937691521961185,0.011235955056179775
vineetsonkar,2,1,1,0.0,0.4328617006519628
pratima_talreja,3,1,2,0.0,0.0
salesgasm,2,1,1,0.0,0.4328617006519628
reyen7,1,1,0,0.0,0.43847629487530826
824208923137806337,1,1,0,0.0,0.43847629487530826
binny_kukreja,2,1,1,0.0,0.4328617006519628
822958359737315328,1,1,0,0.0,0.011235955056179775
srirajee1,1,0,1,0.0,0.0
8686841151rp,1,0,1,0.0,0.0
reenajain89,1,0,1,0.0,0.0
annu_dogra,1,0,1,0.0,0.0
shikhabhansali9,1,0,1,0.0,0.0
vasilykomarov,1,0,1,0.0,0.0
jayeshmehta377,1,0,1,0.0,0.0
sureshnakoda,2,0,2,0.0,0.0
bhawnaahuja007,1,0,1,0.0,0.0
david_john21,1,0,1,0.0,0.0
anitaya05853817,1,0,1,0.0,0.0
call_jain,1,0,1,0.0,0.0
hetalrawat,1,0,1,0.0,0.0
k219shruti,1,0,1,0.0,0.0
priyabansal66,1,0,1,0.0,0.0
ruchitajain16,1,0,1,0.0,0.0
shraddha_bari,1,0,1,0.0,0.0
krishna1334,1,0,1,0.0,0.0
hellolalit,1,0,1,0.0,0.0
omkardixit45,1,0,1,0.0,0.0
reachskk,1,0,1,0.0,0.0
vigneshthupli1,1,0,1,0.0,0.0
ankitajain0911,1,0,1,0.0,0.0
dhuru787,1,0,1,0.0,0.0
nehagup42992144,1,0,1,0.0,0.0
rohit_se,1,0,1,0.0,0.0
godsowntalk,1,0,1,0.0,0.0
raghu587143,2,0,2,0.0,0.0
ajayageecha1,1,0,1,0.0,0.0
jainnamu,1,0,1,0.0,0.0
b_elaine_,2,0,2,0.0,0.0
acharyaempire,1,0,1,0.0,0.0
beshakthi,1,0,1,0.0,0.0
romeromash,1,0,1,0.0,0.0
snehalataj,1,0,1,0.0,0.0
bhansalidigna,1,0,1,0.0,0.0
kumar623123,1,0,1,0.0,0.0
palkan10,1,0,1,0.0,0.0
fotokiran,1,0,1,0.0,0.0
mehulgohil,1,0,1,0.0,0.0
baljeetaa,1,0,1,0.0,0.0
purnimananavati,1,0,1,0.0,0.0
anahitairani1,1,0,1,0.0,0.0
danceeatrepeat,1,0,1,0.0,0.0
1985luckygal,1,0,1,0.0,0.0
zeniairani,1,0,1,0.0,0.0
mukeshksin,1,0,1,0.0,0.0
soni00001,1,0,1,0.0,0.0
imbevda,1,0,1,0.0,0.0
rockstar_born,1,0,1,0.0,0.0
achari_nimboo,1,0,1,0.0,0.0
auk_sanejourno,1,0,1,0.0,0.0
13bhavani,1,0,1,0.0,0.0
humairasadaf_,1,0,1,0.0,0.0
smadan4u,1,0,1,0.0,0.0
laughingcars,1,0,1,0.0,0.0
akii_naik,1,0,1,0.0,0.0
sidbansal22,1,0,1,0.0,0.0
nehalroys,1,0,1,0.0,0.0
agarwalkshweta,1,0,1,0.0,0.0
contestadventur,1,0,1,0.0,0.0
kumar623,1,0,1,0.0,0.0
sensible_mona,1,0,1,0.0,0.0
girija_kriz,1,0,1,0.0,0.0
karrivinodkumar,1,0,1,0.0,0.0
lavinapunjabi,1,0,1,0.0,0.0
le_kukzoholic,1,0,1,0.0,0.0
shubh_softy,1,0,1,0.0,0.0
blessedkamal,1,0,1,0.0,0.0
bhansali_jinal,1,0,1,0.0,0.0
ratneshnagori,1,0,1,0.0,0.0
