from,to,weight
customer1,influencer1,1
customer1,influencer2,4
customer1,marketer,3
customer1,partnerx,3
customer1,thexoxoday,1
customer1,usera,1
customer1,userb,1
customer2,customer1,1
customer2,influencer2,1
customer2,marketer,1
customer2,partnerx,2
customer2,thexoxoday,1
customer2,usera,1
customer2,userb,1
customer2,userc,3
influencer1,customer2,1
influencer1,partnerx,1
influencer1,thexoxoday,3
influencer2,customer2,2
influencer2,marketer,2
influencer2,partnerx,2
influencer2,thexoxoday,1
influencer2,usera,2
influencer2,userb,2
marketer,customer1,3
marketer,influencer1,2
marketer,influencer2,4
marketer,partnerx,1
marketer,thexoxoday,1
marketer,usera,1
marketer,userb,1
marketer,userc,4
partnerx,customer2,2
partnerx,influencer1,1
partnerx,marketer,1
partnerx,thexoxoday,1
partnerx,userb,1
partnerx,userc,1
thexoxoday,customer1,2
thexoxoday,influencer1,1
thexoxoday,influencer2,2
thexoxoday,partnerx,1
thexoxoday,usera,1
thexoxoday,userb,2
usera,customer2,2
usera,influencer1,1
usera,influencer2,1
usera,marketer,3
usera,partnerx,2
usera,userb,4
usera,userc,2
userb,customer1,1
userb,customer2,2
userb,influencer1,1
userb,influencer2,2
userb,marketer,1
userb,partnerx,2
userb,thexoxoday,2
userb,userc,2
userc,customer2,1
userc,influencer1,1
userc,marketer,1
userc,thexoxoday,1
userc,usera,1
